epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4549,2.09031,4.36595,1.27367,0.01332,0.06699,0.02295,0.01248,2.18859,4.23068,1.09101,0.000190235,0.000190235,0.000190235
2,58.3539,2.25543,3.35752,1.14003,0.81564,0.09055,0.05426,0.02857,2.23016,3.2794,1.11986,0.000382412,0.000382412,0.000382412
3,84.0343,2.28778,2.86942,1.10051,0.72167,0.08914,0.08986,0.04934,2.17906,2.71698,1.06769,0.000570707,0.000570707,0.000570707
4,108.099,2.20316,2.50094,1.07667,0.53237,0.11778,0.09963,0.05436,2.22617,2.24225,1.0554,0.000570536,0.000570536,0.000570536
5,134.01,2.19241,2.31764,1.05985,0.66785,0.12359,0.12772,0.07326,2.12738,2.30081,1.06827,0.000564715,0.000564715,0.000564715
6,157.593,2.12644,2.09569,1.04841,0.53742,0.14026,0.14073,0.08423,2.01871,1.93896,1.03372,0.000558894,0.000558894,0.000558894
7,183.432,2.02982,1.95092,1.02875,0.51341,0.15894,0.16001,0.08678,2.00691,1.93208,1.03967,0.000553073,0.000553073,0.000553073
8,207.539,2.04408,1.89419,1.03025,0.53482,0.21075,0.19398,0.11819,1.98372,1.77353,1.02647,0.000547252,0.000547252,0.000547252
9,234.211,1.98899,1.78729,1.02319,0.55596,0.20038,0.2049,0.12591,1.93913,1.6806,1.01721,0.00054143,0.00054143,0.00054143
10,258.549,2.00805,1.7865,1.01839,0.54993,0.2462,0.2195,0.12982,1.94706,1.78355,1.00391,0.000535609,0.000535609,0.000535609
11,285.19,1.93465,1.70423,1.01109,0.56584,0.24972,0.23601,0.15483,1.88987,1.58886,1.00757,0.000529788,0.000529788,0.000529788
12,309.159,1.89728,1.66761,1.00574,0.56713,0.26653,0.25631,0.16093,1.87857,1.61834,0.99736,0.000523967,0.000523967,0.000523967
13,335.207,1.91798,1.6517,1.00294,0.56778,0.28981,0.26475,0.1675,1.86567,1.57581,0.99828,0.000518146,0.000518146,0.000518146
14,358.459,1.92316,1.6317,0.99828,0.46975,0.27231,0.25802,0.1566,1.92393,1.5688,0.99925,0.000512324,0.000512324,0.000512324
15,385.195,1.86578,1.59409,0.9968,0.50994,0.28435,0.28047,0.18041,1.82405,1.52387,0.98686,0.000506503,0.000506503,0.000506503
16,408.715,1.87831,1.57606,0.99455,0.45761,0.30691,0.27929,0.17894,1.79571,1.45216,0.9888,0.000500682,0.000500682,0.000500682
17,436.085,1.84657,1.52278,0.98926,0.47685,0.32872,0.29366,0.18974,1.78782,1.43574,0.98687,0.000494861,0.000494861,0.000494861
18,459.725,1.84509,1.51842,0.98622,0.52987,0.30009,0.30896,0.19703,1.85894,1.45842,0.98987,0.00048904,0.00048904,0.00048904
19,486.826,1.87321,1.51041,0.98661,0.50411,0.33072,0.31386,0.20075,1.78099,1.39557,0.98092,0.000483218,0.000483218,0.000483218
20,511.038,1.83787,1.49596,0.98561,0.59188,0.31835,0.33971,0.22493,1.75092,1.37962,0.97139,0.000477397,0.000477397,0.000477397
21,537.126,1.78646,1.45416,0.97011,0.52158,0.33988,0.33085,0.21736,1.73428,1.35392,0.97061,0.000471576,0.000471576,0.000471576
22,560.661,1.80836,1.44882,0.97783,0.47624,0.31921,0.34101,0.22839,1.7621,1.44945,0.97269,0.000465755,0.000465755,0.000465755
23,585.798,1.79138,1.43627,0.97613,0.53436,0.33942,0.3516,0.23668,1.72038,1.34113,0.9661,0.000459934,0.000459934,0.000459934
24,610.317,1.76804,1.41192,0.96942,0.52741,0.349,0.3623,0.24066,1.76314,1.36504,0.96729,0.000454112,0.000454112,0.000454112
25,635.476,1.77922,1.39518,0.96932,0.58738,0.3341,0.35091,0.23049,1.72997,1.33808,0.96908,0.000448291,0.000448291,0.000448291
26,660.793,1.77548,1.39992,0.96827,0.5124,0.35877,0.38167,0.25598,1.67732,1.31246,0.95606,0.00044247,0.00044247,0.00044247
27,685.215,1.74892,1.37111,0.96168,0.61465,0.33021,0.38508,0.26173,1.68724,1.32977,0.95381,0.000436649,0.000436649,0.000436649
28,710.771,1.74333,1.34938,0.96063,0.62077,0.34489,0.38906,0.26394,1.69739,1.2933,0.96132,0.000430828,0.000430828,0.000430828
29,734.828,1.7512,1.35858,0.96301,0.6029,0.37688,0.40703,0.27084,1.67284,1.26463,0.95746,0.000425006,0.000425006,0.000425006
30,760.151,1.73174,1.34349,0.96314,0.5284,0.36036,0.408,0.26701,1.68973,1.27641,0.95998,0.000419185,0.000419185,0.000419185
31,784.584,1.72274,1.33385,0.95992,0.65205,0.34696,0.42554,0.28356,1.68389,1.23658,0.96048,0.000413364,0.000413364,0.000413364
32,810.216,1.74452,1.3158,0.9606,0.66462,0.3733,0.42899,0.29404,1.63959,1.23905,0.95251,0.000407543,0.000407543,0.000407543
