epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2866,2.10541,4.44216,1.28997,0.01349,0.03588,0.01703,0.01101,2.10755,4.3184,1.07212,0.000190235,0.000190235,0.000190235
2,47.0126,2.24361,3.45585,1.14486,0.84021,0.05807,0.04986,0.02589,2.28069,3.26336,1.11872,0.000378588,0.000378588,0.000378588
3,65.8022,2.31623,2.94961,1.11389,0.84764,0.07103,0.07201,0.03676,2.33468,2.69312,1.07354,0.000559179,0.000559179,0.000559179
4,84.1779,2.23953,2.62407,1.08365,0.67444,0.08674,0.07104,0.03714,2.30862,2.49168,1.04769,0.000553073,0.000553073,0.000553073
5,102.934,2.24982,2.43185,1.06566,0.67073,0.08759,0.09509,0.04981,2.19538,2.41869,1.04967,0.00054143,0.00054143,0.00054143
6,121.063,2.1842,2.18911,1.05285,0.51429,0.10049,0.09798,0.05337,2.09678,2.11933,1.04433,0.000529788,0.000529788,0.000529788
7,139.911,2.09785,2.03735,1.03518,0.5824,0.12861,0.11118,0.05954,2.04384,2.0209,1.02637,0.000518146,0.000518146,0.000518146
8,158.328,2.10424,1.9873,1.03177,0.61637,0.12824,0.1284,0.07249,2.07322,1.88386,1.00771,0.000506503,0.000506503,0.000506503
9,177.558,2.04466,1.85474,1.0188,0.65131,0.14775,0.15135,0.08571,1.98964,1.82315,1.00876,0.000494861,0.000494861,0.000494861
10,197.243,2.0809,1.84677,1.01615,0.63278,0.1636,0.16885,0.09539,1.96854,1.72295,0.99964,0.000483218,0.000483218,0.000483218
11,217.189,1.99091,1.7555,1.01104,0.52873,0.22551,0.18969,0.11226,1.96221,1.62218,0.99105,0.000471576,0.000471576,0.000471576
12,236.155,1.96182,1.71258,1.00653,0.60039,0.18419,0.19173,0.11274,1.95986,1.68084,0.98432,0.000459934,0.000459934,0.000459934
13,255.399,1.97219,1.69092,0.99885,0.5296,0.20032,0.20112,0.12214,1.91169,1.54534,0.98836,0.000448291,0.000448291,0.000448291
14,273.502,1.95673,1.66454,0.99711,0.47032,0.20774,0.1952,0.11039,1.98553,1.67696,0.97993,0.000436649,0.000436649,0.000436649
15,292.646,1.91567,1.63339,0.99792,0.42524,0.22289,0.22337,0.13332,1.87117,1.63135,0.97201,0.000425006,0.000425006,0.000425006
16,312.032,1.93294,1.61748,0.99179,0.57137,0.22712,0.2338,0.14117,1.85819,1.50773,0.97099,0.000413364,0.000413364,0.000413364
17,331.013,1.9051,1.56889,0.98717,0.55239,0.2268,0.23896,0.14851,1.85861,1.46268,0.97008,0.000401722,0.000401722,0.000401722
18,350.466,1.89923,1.55399,0.98396,0.45613,0.26492,0.24569,0.14947,1.85806,1.47005,0.96651,0.000390079,0.000390079,0.000390079
19,371.264,1.89544,1.54014,0.98144,0.48842,0.26172,0.26526,0.16805,1.81472,1.4311,0.96014,0.000378437,0.000378437,0.000378437
20,390.752,1.88741,1.51926,0.98105,0.47967,0.2549,0.25132,0.14532,1.87258,1.4992,0.96934,0.000366794,0.000366794,0.000366794
21,409.721,1.84728,1.48757,0.96729,0.6367,0.25662,0.27993,0.17075,1.82276,1.42866,0.96139,0.000355152,0.000355152,0.000355152
22,428.461,1.87758,1.49674,0.97522,0.48798,0.26215,0.26539,0.16526,1.81613,1.44722,0.95479,0.00034351,0.00034351,0.00034351
23,446.63,1.86036,1.47789,0.97487,0.48747,0.2682,0.27843,0.17059,1.80021,1.37969,0.9544,0.000331867,0.000331867,0.000331867
24,465.228,1.83207,1.4653,0.96851,0.55337,0.28187,0.29972,0.19052,1.78905,1.36969,0.94926,0.000320225,0.000320225,0.000320225
25,484.491,1.82685,1.43928,0.96466,0.54131,0.27044,0.2938,0.18286,1.78758,1.37256,0.95455,0.000308582,0.000308582,0.000308582
26,503.63,1.82716,1.43589,0.96657,0.5836,0.27298,0.30799,0.19636,1.75634,1.3231,0.9467,0.00029694,0.00029694,0.00029694
27,523.164,1.78408,1.40156,0.9584,0.59124,0.26594,0.31369,0.20282,1.76378,1.3322,0.94666,0.000285298,0.000285298,0.000285298
28,542.235,1.80352,1.38597,0.95828,0.57227,0.2903,0.32472,0.20376,1.77242,1.33412,0.94608,0.000273655,0.000273655,0.000273655
29,560.848,1.79999,1.39105,0.96212,0.62787,0.27276,0.32741,0.19949,1.75413,1.28499,0.94269,0.000262013,0.000262013,0.000262013
30,579.461,1.7764,1.37789,0.95893,0.48971,0.30165,0.32694,0.20588,1.73873,1.28498,0.94336,0.00025037,0.00025037,0.00025037
31,598.222,1.77777,1.36974,0.95565,0.62804,0.29149,0.3283,0.20735,1.73786,1.31052,0.93939,0.000238728,0.000238728,0.000238728
32,616.696,1.78718,1.35399,0.95748,0.53567,0.27894,0.33887,0.21562,1.7237,1.28309,0.94317,0.000227086,0.000227086,0.000227086
33,634.88,1.75535,1.33535,0.95515,0.56864,0.31704,0.33816,0.2124,1.71696,1.27407,0.93796,0.000215443,0.000215443,0.000215443
34,654.245,1.7689,1.33714,0.95061,0.61097,0.28135,0.34598,0.21892,1.72842,1.24615,0.94069,0.000203801,0.000203801,0.000203801
35,674.093,1.73643,1.31944,0.94887,0.60428,0.30543,0.35369,0.22419,1.70845,1.26252,0.9327,0.000192158,0.000192158,0.000192158
36,693.579,1.73451,1.31561,0.95018,0.54335,0.307,0.36316,0.23052,1.68475,1.21498,0.93567,0.000180516,0.000180516,0.000180516
37,713.436,1.71615,1.28592,0.94568,0.58831,0.31777,0.36481,0.22775,1.71836,1.25154,0.93838,0.000168874,0.000168874,0.000168874
38,732.456,1.75302,1.30658,0.95078,0.53127,0.32267,0.36043,0.22118,1.75982,1.23967,0.94116,0.000157231,0.000157231,0.000157231
39,751.06,1.73277,1.27895,0.94385,0.48319,0.31059,0.35761,0.22452,1.70614,1.23671,0.93232,0.000145589,0.000145589,0.000145589
40,769.708,1.76105,1.32107,0.95111,0.5056,0.32186,0.37055,0.23365,1.69975,1.21009,0.93373,0.000133946,0.000133946,0.000133946
41,791.748,1.77469,1.42885,0.95092,0.50496,0.32458,0.35842,0.22812,1.71794,1.27048,0.93271,0.000122304,0.000122304,0.000122304
42,810.428,1.73347,1.35368,0.94104,0.48556,0.31917,0.36361,0.22851,1.71034,1.24605,0.93668,0.000110662,0.000110662,0.000110662
43,828.938,1.73786,1.3284,0.93992,0.48913,0.32903,0.368,0.23141,1.70893,1.24553,0.93265,9.90192e-05,9.90192e-05,9.90192e-05
44,847.756,1.7227,1.29834,0.93639,0.44275,0.35396,0.37611,0.23544,1.70667,1.24622,0.93571,8.73768e-05,8.73768e-05,8.73768e-05
45,867.736,1.70667,1.29477,0.93993,0.46783,0.35133,0.37967,0.24048,1.7113,1.22254,0.93171,7.57344e-05,7.57344e-05,7.57344e-05
46,886.645,1.68781,1.26366,0.93213,0.46831,0.35348,0.37822,0.24055,1.67716,1.2167,0.92921,6.4092e-05,6.4092e-05,6.4092e-05
